Sid,Eid,eventA,eventB,eventC
75,3,-29.02,50.16,81.13
75,4,52.04,100.19,93.32
75,5,59.38,83.95,10.83
76,1,6.38,91.99,104.09
76,2,33.73,34.13,88.08
76,3,34.93,48.23,3.68
76,4,49.0,-22.31,35.47
76,5,15.56,81.47,68.3
77,1,49.18,42.22,34.07
77,2,73.76,73.42,61.39
77,3,87.09,3.44,50.08
77,4,-24.29,96.25,50.91
77,5,29.1,63.1,35.08
78,1,48.23,19.29,54.33
78,2,16.05,33.61,70.34
78,3,4.52,-3.18,13.2
78,4,106.34,31.11,102.86
78,5,109.98,1.66,47.53
79,1,87.84,49.11,79.37
79,2,65.74,30.46,73.42
79,3,53.14,33.34,58.24
79,4,76.49,35.09,76.29
79,5,112.59,51.9,52.47
80,1,29.08,19.59,53.92
80,2,0.96,45.79,8.2
80,3,57.91,69.48,32.45
80,4,27.51,-15.53,76.91
80,5,47.91,30.62,56.64
81,1,62.98,99.89,47.15
81,2,53.81,5.78,49.22
81,3,32.32,12.37,49.9
81,4,83.87,40.11,52.67
81,5,46.3,89.17,42.58
82,1,83.32,95.09,58.99
82,2,22.34,26.4,47.27
82,3,54.1,32.77,12.78
82,4,51.71,91.08,44.67
82,5,7.32,126.34,45.7
83,1,44.33,23.7,135.42
83,2,87.5,74.56,45.37
83,3,26.23,13.45,56.08
83,4,30.05,37.7,37.39
83,5,28.94,82.76,32.19
84,1,49.47,104.48,64.23
84,2,66.4,69.43,2.41
84,3,63.54,59.6,100.66
84,4,46.73,-7.05,79.83
84,5,89.24,65.62,69.4
85,1,25.2,87.49,66.37
85,2,50.35,85.25,55.72
85,3,67.26,55.69,89.18
85,4,27.85,94.0,41.2
85,5,94.63,16.03,57.72
86,1,68.95,29.94,80.87
86,2,79.7,101.83,87.47
86,3,61.81,91.44,47.26
86,4,64.23,14.42,66.03
86,5,75.91,55.2,36.61
87,1,49.66,29.92,23.96
87,2,88.62,45.24,42.4
87,3,61.76,67.38,53.37
87,4,1.05,55.23,80.14
87,5,73.53,80.81,60.37
88,1,24.48,98.67,55.86
88,2,9.1,26.69,55.93
88,3,68.86,3.31,46.9
88,4,88.86,26.55,12.22
88,5,85.17,57.61,68.17
89,1,61.84,65.12,14.03
89,2,95.4,60.5,23.5
89,3,59.12,65.19,36.26
89,4,33.84,51.27,74.21
89,5,26.51,86.77,33.99
90,1,56.66,63.36,91.83
90,2,17.26,64.52,8.19
90,3,32.06,42.92,19.02
90,4,92.1,43.89,59.8
90,5,38.47,75.64,45.27
91,1,18.71,13.0,92.82
91,2,63.52,78.15,103.62
91,3,42.9,36.08,-4.66
91,4,53.85,53.08,74.34
91,5,12.48,59.26,21.43
92,1,56.88,73.03,52.94
92,2,43.36,52.23,73.2
92,3,65.81,-12.64,32.36
92,4,20.99,-17.05,36.64
92,5,3.19,37.37,77.5
93,1,25.02,88.86,19.77
93,2,37.48,114.24,25.43
93,3,20.08,-13.1,107.57
93,4,62.14,52.5,57.53
93,5,68.89,-8.69,48.36
94,1,25.64,62.53,-15.32
94,2,-7.63,83.97,0.5
94,3,87.6,122.04,51.06
94,4,43.97,49.2,21.37
94,5,84.32,59.16,69.72
95,1,54.32,67.14,80.07
95,2,11.04,43.91,31.65
95,3,26.88,38.99,37.07
95,4,52.94,57.23,51.91
95,5,58.35,64.53,111.07
96,1,53.92,34.91,81.82
96,2,92.79,55.27,61.67
96,3,77.05,16.77,5.98
96,4,20.16,70.26,32.59
96,5,50.69,58.39,28.61
97,1,55.67,44.14,75.43
97,2,13.02,64.07,53.17
97,3,30.09,116.36,0.12
97,4,24.04,42.88,12.23
97,5,138.7,-3.74,-9.14
98,1,30.43,38.15,54.76
98,2,57.27,34.87,34.42
98,3,46.8,94.07,94.38
98,4,38.9,32.05,30.09
98,5,52.52,10.67,-29.48
99,1,49.63,84.82,92.62
99,2,47.02,119.9,11.5
99,3,68.93,42.64,29.89
99,4,45.78,71.49,33.89
99,5,38.81,50.96,21.2
100,1,45.06,40.4,68.79
100,2,57.33,98.17,42.36
100,3,42.78,94.48,94.07
100,4,31.13,-2.36,78.37
100,5,-14.8,69.99,67.69
